date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:17	111/111	---M-Z	200	added ('OK')	text/plain	etag:%220f6123a9bd38ae5910539ede21a88f0e%22	https://brilliant-usage-785173.framer.app/robots.txt		(from )
12:18:17	296305/296305	---M-Z	200	added ('OK')	text/html	etag:%22e5869cd3ecccc150e5793bb04756b436%22	https://brilliant-usage-785173.framer.app/	E:/2/Si/brilliant-usage-785173.framer.app/index.html	(from )
12:18:18	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	E:/2/Si/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://brilliant-usage-785173.framer.app/)
12:18:19	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	E:/2/Si/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://brilliant-usage-785173.framer.app/)
12:18:19	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	E:/2/Si/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://brilliant-usage-785173.framer.app/)
12:18:19	17268/17268	---M--	200	added ('OK')	font/woff2	date:Wed,%2027%20Sep%202023%2015:39:44%20GMT	https://fonts.gstatic.com/s/youngserif/v2/3qTpojO2nS2VtkB3KtkQZ1tz3kYoaQ.woff2	E:/2/Si/fonts.gstatic.com/s/youngserif/v2/3qTpojO2nS2VtkB3KtkQZ1tz3kYoaQ.woff2	(from https://brilliant-usage-785173.framer.app/)
12:18:20	286148/286148	---MC-	200	added ('OK')	image/jpeg	etag:%22249e64013e7eac6e3f96f665789e376d%22	https://framerusercontent.com/images/V9nfz26wBepomYesy9KDkfixmM.jpg	E:/2/Si/framerusercontent.com/images/V9nfz26wBepomYesy9KDkfixmM.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:20	215991/215991	---MC-	200	added ('OK')	image/png	etag:%2205eb800c60434ef572f528424242a145%22	https://framerusercontent.com/images/rTcT0qgg6bwEXlVySgeGUaQbAcE.png	E:/2/Si/framerusercontent.com/images/rTcT0qgg6bwEXlVySgeGUaQbAcE.png	(from https://brilliant-usage-785173.framer.app/)
12:18:20	11885/11885	---MC-	200	added ('OK')	image/jpeg	etag:%2225a14e1811c02e262a9d1e5fa3da6119%22	https://framerusercontent.com/images/or5kfHnlRcloBnqCZ6fruaQgI.jpeg?scale-down-to=512	E:/2/Si/framerusercontent.com/images/or5kfHnlRcloBnqCZ6fruaQgI17f5.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:20	53567/53567	---MC-	200	added ('OK')	image/jpeg	etag:%223b126f11912a3a1749c4ed05981e9ca1%22	https://framerusercontent.com/images/yXBiPfIfr44LzAVcuw3yE8SagNM.jpg?scale-down-to=512	E:/2/Si/framerusercontent.com/images/yXBiPfIfr44LzAVcuw3yE8SagNM17f5.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:21	37972/37972	---MC-	200	added ('OK')	image/jpeg	etag:%2266c1ffaa10eed3dd2239d17c04c20b7d%22	https://framerusercontent.com/images/O1gxtPrR969QMQQgprLxXxskDjk.jpg?scale-down-to=512	E:/2/Si/framerusercontent.com/images/O1gxtPrR969QMQQgprLxXxskDjk17f5.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:21	130177/130177	---M-Z	200	added ('OK')	text/html	etag:%220c99e7eac6831fe06652a4356504a2ae%22	https://brilliant-usage-785173.framer.app/image-of-the-map	E:/2/Si/brilliant-usage-785173.framer.app/image-of-the-map.html	(from https://brilliant-usage-785173.framer.app/)
12:18:22	10185/10185	---MC-	200	added ('OK')	image/png	etag:%225e2e268b3ad2dac6e83a8866cd0ea3e2%22	https://framerusercontent.com/images/uuJZEAxqxLlpKvtRoYDUX2QpsKs.png	E:/2/Si/framerusercontent.com/images/uuJZEAxqxLlpKvtRoYDUX2QpsKs.png	(from https://brilliant-usage-785173.framer.app/)
12:18:22	22893/22893	---MC-	200	added ('OK')	image/png	etag:%22acbb2e63e3a3085e667dbbb77d025375%22	https://framerusercontent.com/images/mCkAvcRmwl6gt3KE3gEl1m5t3g.png	E:/2/Si/framerusercontent.com/images/mCkAvcRmwl6gt3KE3gEl1m5t3g.png	(from https://brilliant-usage-785173.framer.app/)
12:18:22	12717610/12717610	---MC-	200	added ('OK')	image/jpeg	etag:%224131fe3efc736874c622325fcdc64ef2%22	https://framerusercontent.com/images/aAHCl5qP0LpWMRy1UW8uXa5rf0.jpg	E:/2/Si/framerusercontent.com/images/aAHCl5qP0LpWMRy1UW8uXa5rf0.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:22	13727/13727	---MC-	200	added ('OK')	image/png	etag:%22ddd17d0293546a4b52357507cfa436d2%22	https://framerusercontent.com/images/P7Efad91Jswlb2cildLSAoOzIc.png?scale-down-to=512	E:/2/Si/framerusercontent.com/images/P7Efad91Jswlb2cildLSAoOzIc17f5.png	(from https://brilliant-usage-785173.framer.app/)
12:18:23	25927/25927	---MC-	200	added ('OK')	image/png	etag:%22905e9541c20bea836a3c7d4afd8fe1ab%22	https://framerusercontent.com/images/3ow72XTiz6owOuqOmn0BUZ2lwss.png	E:/2/Si/framerusercontent.com/images/3ow72XTiz6owOuqOmn0BUZ2lwss.png	(from https://brilliant-usage-785173.framer.app/)
12:18:23	7622/7622	---MC-	200	added ('OK')	image/png	etag:%22f7b2f55bd55243fe4163e5c7bee2208d%22	https://framerusercontent.com/images/CmnxGeOrC5qoYLBJnvJMCVaITrQ.png	E:/2/Si/framerusercontent.com/images/CmnxGeOrC5qoYLBJnvJMCVaITrQ.png	(from https://brilliant-usage-785173.framer.app/)
12:18:23	21059/21059	---MC-	200	added ('OK')	image/png	etag:%2248d4276747fc82ef2fe52ead1dd332a1%22	https://framerusercontent.com/images/y8ZZDtQyqWpaMBMr6iiiq0dPoc.png	E:/2/Si/framerusercontent.com/images/y8ZZDtQyqWpaMBMr6iiiq0dPoc.png	(from https://brilliant-usage-785173.framer.app/)
12:18:23	19125/19125	---MC-	200	added ('OK')	image/png	etag:%22d861482cfcccc3cc482d59877a7a2387%22	https://framerusercontent.com/images/4lOVR6MdrOpuj97aEoLRubsyE0.png	E:/2/Si/framerusercontent.com/images/4lOVR6MdrOpuj97aEoLRubsyE0.png	(from https://brilliant-usage-785173.framer.app/)
12:18:24	145655/145655	---MC-	200	added ('OK')	image/jpeg	etag:%22b7f66b901f4a958b9bf4ba2fbe298e0b%22	https://framerusercontent.com/images/9rAglPjBxcE9w2V5jvugiaQ.jpg	E:/2/Si/framerusercontent.com/images/9rAglPjBxcE9w2V5jvugiaQ.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:24	165463/165463	---MC-	200	added ('OK')	image/jpeg	etag:%229c85128df60517f5d47b4459a3b51c41%22	https://framerusercontent.com/images/Wcxo8K8WGLORWppEN69IoXIPQ.jpg	E:/2/Si/framerusercontent.com/images/Wcxo8K8WGLORWppEN69IoXIPQ.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:24	175547/175547	---MC-	200	added ('OK')	image/jpeg	etag:%22be41439a2d2a59067ff839794de5c749%22	https://framerusercontent.com/images/Mfdt3uw8S9JKS4NCR1RrFlQ.jpg	E:/2/Si/framerusercontent.com/images/Mfdt3uw8S9JKS4NCR1RrFlQ.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:24	124363/124363	---MC-	200	added ('OK')	image/jpeg	etag:%222e7240b8b0e88e1415605bf983a7e121%22	https://framerusercontent.com/images/nbzoz7ypwlAMKuAljZxRfMvnWU.jpg	E:/2/Si/framerusercontent.com/images/nbzoz7ypwlAMKuAljZxRfMvnWU.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:24	812101/812101	---MC-	200	added ('OK')	image/jpeg	etag:%2221e08919f6d8411b4355c0dae77dd4de%22	https://framerusercontent.com/images/cuNB44gTkft1hw8hPMPIVDzcPdc.jpg	E:/2/Si/framerusercontent.com/images/cuNB44gTkft1hw8hPMPIVDzcPdc.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:25	259328/259328	---MC-	200	added ('OK')	image/jpeg	etag:%22a4bc1187ffc3e62e6fc2c25070175f2b%22	https://framerusercontent.com/images/eFPoBCCnYAqhjsuByfUno7V1eI.jpg	E:/2/Si/framerusercontent.com/images/eFPoBCCnYAqhjsuByfUno7V1eI.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:25	293816/293816	---MC-	200	added ('OK')	image/jpeg	etag:%223c2237b3263c2707ae9664e5d9a6aeac%22	https://framerusercontent.com/images/vGzaA2YOiaPGUxxKZQ7iRcuNXM.jpg	E:/2/Si/framerusercontent.com/images/vGzaA2YOiaPGUxxKZQ7iRcuNXM.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:25	179361/179361	---MC-	200	added ('OK')	image/jpeg	etag:%22901c8444ef6e3953b79944007232d026%22	https://framerusercontent.com/images/ssWqX5BhvCZuK1dUgHvKP0NtKj0.jpg	E:/2/Si/framerusercontent.com/images/ssWqX5BhvCZuK1dUgHvKP0NtKj0.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:25	172054/172054	---MC-	200	added ('OK')	image/jpeg	etag:%22b5a7f9b6754cdf2f78474bae7d2d97dc%22	https://framerusercontent.com/images/mFtF5scsEY7LhNZ1qxIP6f6c7I.jpg	E:/2/Si/framerusercontent.com/images/mFtF5scsEY7LhNZ1qxIP6f6c7I.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:25	201240/201240	---MC-	200	added ('OK')	image/jpeg	etag:%226a4b09c15fb05399637bb321c39808d3%22	https://framerusercontent.com/images/w3IZU3Sy8vRxcOICjrNz5LLncew.jpg	E:/2/Si/framerusercontent.com/images/w3IZU3Sy8vRxcOICjrNz5LLncew.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:26	1159160/1159160	---MC-	200	added ('OK')	image/jpeg	etag:%227638d9a0d6f5997f6035ba3729192910%22	https://framerusercontent.com/images/USVGmxtnmuU3S22wUP4xYaATUM.jpeg	E:/2/Si/framerusercontent.com/images/USVGmxtnmuU3S22wUP4xYaATUM.jpg	(from https://brilliant-usage-785173.framer.app/)
12:18:26	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Aug%202025%2006:48:27%20GMT	https://fonts.gstatic.com/robots.txt		(from https://brilliant-usage-785173.framer.app/)
